Dato;Konsumprisindeks(2015=100)
2019M01;109,30
2019M02;110,20
2019M03;110,40
2019M04;110,80
2019M05;110,50
2019M06;110,60
2019M07;111,40
2019M08;110,60
2019M09;111,10
2019M10;111,30
2019M11;111,60
2019M12;111,30
2020M01;111,30
2020M02;111,20
2020M03;111,20
2020M04;111,70
2020M05;111,90
2020M06;112,10
2020M07;112,90
2020M08;112,50
2020M09;112,90
2020M10;113,20
2020M11;112,40
2020M12;112,90
2021M01;114,10
2021M02;114,90
2021M03;114,60
2021M04;115,00
2021M05;114,90
2021M06;115,30
2021M07;116,30
2021M08;116,30
2021M09;117,50
2021M10;117,20
2021M11;118,10
2021M12;118,90
2022M01;117,80
2022M02;119,10
2022M03;119,80
2022M04;121,20
2022M05;121,50
2022M06;122,60
2022M07;124,20
2022M08;123,90
2022M09;125,60
2022M10;126,00
2022M11;125,80
2022M12;125,90
2023M01;126,10
2023M02;126,60
2023M03;127,60
2023M04;129,00
2023M05;129,60
2023M06;130,40
2023M07;130,90
2023M08;129,90
2023M09;129,80
